	SRR403882_first	SRR403883_first	SRR403886_first	SRR403887_first	SRR403888_first	SRR403889_first	SRR403892_first	SRR403893_first
ENSG00000215912.12	0	0	0	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0	0	0
ENSG00000284745.1	0	0	0	0	0	0	0	0
ENSG00000169717.6	0	0	0	0	0	0	0	0
ENSG00000177133.10	0	0	0	0	3	0	0	0
ENSG00000142611.16	2	0	0	1	6	0	1	9
ENSG00000283572.1	0	0	0	0	0	0	0	0
ENSG00000226286.1	0	0	0	0	0	0	0	0
ENSG00000279839.1	0	0	0	0	0	0	0	0
ENSG00000272235.1	0	0	0	0	0	0	0	0
ENSG00000130762.14	16	1	19	2	21	3	19	15
ENSG00000272088.1	0	0	0	0	0	0	0	0
ENSG00000162591.15	113	6	143	16	59	10	129	21
ENSG00000207776.1	0	0	0	0	0	0	0	0
ENSG00000238260.1	9	0	8	0	5	0	12	0
ENSG00000158109.14	1054	90	877	181	1429	404	1343	581
ENSG00000116213.15	479	64	300	115	472	308	353	219
ENSG00000078900.14	0	0	0	1	0	0	0	0
ENSG00000227589.1	0	0	1	0	0	0	0	0
ENSG00000235131.1	0	0	0	0	0	0	0	0
ENSG00000227372.11	885	17	753	45	765	32	784	51
ENSG00000276189.1	0	0	0	0	0	0	0	0
ENSG00000162592.9	1	0	0	0	0	0	0	0
ENSG00000235169.7	19	3	8	8	14	12	32	25
ENSG00000130764.9	1351	190	990	242	1185	745	1033	605
ENSG00000266075.2	2	0	2	0	2	0	1	0
ENSG00000272153.1	2	0	0	0	0	0	2	0
ENSG00000116198.12	971	105	850	159	1039	423	900	345
ENSG00000169598.15	186	14	96	26	201	65	106	54
ENSG00000198912.10	714	73	479	128	826	402	588	403
ENSG00000236423.5	17	0	15	0	18	4	9	2
ENSG00000233304.6	0	0	0	0	0	0	0	0
ENSG00000226374.2	0	0	0	0	0	0	0	0
ENSG00000284668.1	0	0	0	0	0	0	0	0
ENSG00000284703.1	0	0	1	0	0	0	0	0
ENSG00000229280.1	8	2	3	0	9	4	5	0
ENSG00000235054.3	0	0	0	0	0	0	0	0
ENSG00000284694.1	0	0	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0	0	0
ENSG00000232596.2	0	0	0	0	0	0	0	0
ENSG00000196581.10	0	0	0	0	0	0	0	0
ENSG00000284739.1	0	0	0	0	0	0	0	0
ENSG00000284674.1	0	0	0	0	0	0	0	0
ENSG00000231510.1	0	0	0	0	0	0	0	0
ENSG00000284616.1	0	0	0	0	0	0	0	0
ENSG00000284692.1	0	0	0	0	0	0	0	0
ENSG00000284666.1	0	0	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	0	0	0
ENSG00000236948.2	0	0	0	0	0	0	0	0
ENSG00000264341.1	0	0	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	0	0	1	0
ENSG00000131697.17	327	27	265	57	269	64	324	119
ENSG00000069424.14	258	30	202	46	130	72	162	75
